League,Year,Team,Code,Avg_Salary_EUR_FS,Tot_Salary_EUR_FS,Players
epl,2022,Arsenal FC,ARS,4997383,99947665,20
epl,2022,Aston Villa FC,AVL,4671748,79419715,17
epl,2022,Brighton & Hove Albion FC,BHA,2065153,33042444,16
epl,2022,AFC Bournemouth,BOU,1882516,32002780,17
epl,2022,Brentford FC,BRE,1393799,29269782,21
epl,2022,Chelsea FC,CHE,8348541,166970819,20
epl,2022,Crystal Palace FC,CRY,3231736,58171248,18
epl,2022,Everton FC,EVE,3565970,85583278,24
epl,2022,Fulham FC,FUL,2639741,60714051,23
epl,2022,Leeds United FC,LEE,2017757,38337386,19
epl,2022,Leicester City FC,LEI,3995201,79904021,20
epl,2022,Liverpool FC,LIV,7997113,151945150,19
epl,2022,Manchester United FC,MAN,12589170,251783396,20
epl,2022,Manchester City FC,MNC,10665342,213306836,20
epl,2022,Newcastle United FC,NEW,3767209,67809755,18
epl,2022,Nottingham Forest FC,NFO,2296817,52826782,23
epl,2022,Southampton FC,SOU,2997557,59951140,20
epl,2022,Tottenham Hotspur FC,TOT,6034722,120694446,20
epl,2022,West Ham United FC,WHU,4040592,88893022,22
epl,2022,Wolverhampton Wanderers FC,WOL,2822866,56457329,20
fra,2022,AC Ajaccio,ACA,243854,6827912,28
fra,2022,Angers Sporting Club de l'Ouest,ANG,596343,16697600,28
fra,2022,Association Jeunesse Auxerroise,AUX,334833,8036000,24
fra,2022,Stade Brestois 29,BRES,529680,13242000,25
fra,2022,Clermont Foot 63,CLE,294087,6764000,23
fra,2022,Lille OSC Métropole,LILL,1000008,26000200,26
fra,2022,FC Lorient,LOR,309027,9579852,31
fra,2022,Olympique Lyonnais,LYON,1750970,45525220,26
fra,2022,AS Monaco FC,MON,1891143,52952000,28
fra,2022,Montpellier HSC,MON,565323,17525000,31
fra,2022,FC Nantes,NAN,931464,26081000,28
fra,2022,OGC Nice Côte d'Azur,NICE,1268079,35506208,28
fra,2022,Olympique de Marseille,OLM,2266567,67997000,30
fra,2022,Paris Saint-Germain FC,PSG,10641507,297962200,28
fra,2022,Racing Club de Lens,RCL,549800,16494000,30
fra,2022,Stade de Reims,REIM,382966,11106000,29
fra,2022,Stade Rennais FC,REN,1133250,31731000,28
fra,2022,RC Strasbourg Alsace,STR,546679,15307000,28
fra,2022,Toulouse FC,TOU,253000,6831000,27
fra,2022,Espérance Sportive Troyes Aube Champagne,TRY,320037,8641000,27
ger,2022,Bayer 04 Leverkusen,B04,2506913,67686647,27
ger,2022,Borussia VfL Mönchengladbach,BMG,1732812,48518732,28
ger,2022,VfL Bochum 1848,BOC,483136,13527808,28
ger,2022,Hertha BSC,BSC,1008561,27231140,27
ger,2022,BVB 09 Borussia Dortmund,DOR,3952684,110675152,28
ger,2022,FC Augsburg,FCA,796745,22308855,28
ger,2022,1. FC Union Berlin,FCU,673381,16161147,24
ger,2022,1. FC Köln,KOE,921652,26727896,29
ger,2022,1. FSV Mainz 05,M05,995750,26885237,27
ger,2022,FC Bayern München,MUN,8798673,263960192,30
ger,2022,Rasen Ballsport Leipzig,RBL,3391685,88183801,26
ger,2022,FC Schalke 04,S04,905097,27152911,30
ger,2022,SC Freiburg,SCF,560445,14571571,26
ger,2022,Eintracht Frankfurt,SGE,1413469,36750192,26
ger,2022,SV Werder Bremen,SVW,994299,25851781,26
ger,2022,TSG 1899 Hoffenheim,TSG,1537672,43054824,28
ger,2022,VfB Stuttgart 1893,VFB,641145,19234359,30
ger,2022,VfL Wolfsburg,WOB,1995466,53877579,27
itl,2022,Atalanta Bergamasca Calcio,ATA,1658013,44766338,27
itl,2022,Bologna FC 1909,BOL,1180727,35421808,30
itl,2022,US Cremonese,CRE,682092,20462770,30
itl,2022,Empoli FC,EMP,795307,27040449,34
itl,2022,ACF Fiorentina,FIO,1440027,40320748,28
itl,2022,FC Internazionale Milano,INT,4520179,131085188,29
itl,2022,Juventus FC,JUV,4770326,143109772,30
itl,2022,SS Lazio,LAZ,2550746,66319396,26
itl,2022,US Lecce,LEC,633257,19630980,31
itl,2022,AC Milan,MIL,3003674,90110228,30
itl,2022,SS Monza 1912,MON,1091438,31651702,29
itl,2022,SSC Napoli,NAP,2380778,71423349,30
itl,2022,AS Roma,ROMA,2988614,89658421,30
itl,2022,US Salernitana 1919,SAL,1020708,32662666,32
itl,2022,UC Sampdoria,SAM,1162425,31385465,27
itl,2022,US Sassuolo Calcio,SAS,1112881,31160677,28
itl,2022,ASD Spezia Calcio 2008,SPE,871042,25260224,29
itl,2022,Torino FC,TOR,1411739,38116960,27
itl,2022,Udinese Calcio,UDI,784152,18819656,24
itl,2022,Hellas Verona FC,VER,736322,19144372,26
spn,2022,UD Almería,ALM,738655,14773095,20
spn,2022,Athletic Club Bilbao,ATH,2879657,66232100,23
spn,2022,Club Atlético de Madrid,ATM,7023086,147484796,21
spn,2022,FC Barcelona,BAR,12529572,288180151,23
spn,2022,Real Betis Balompié,BET,1593803,31876069,20
spn,2022,Cádiz CF,CAD,613024,15325604,25
spn,2022,Real Club Celta de Vigo,CEL,1463394,24877700,17
spn,2022,Elche CF,ELC,666646,13999563,21
spn,2022,Reial Club Deportiu Espanyol,ESP,908800,18176000,20
spn,2022,Getafe Club de Fútbol,GET,1199100,23981994,20
spn,2022,Girona FC,GIR,724993,13049871,18
spn,2022,Real Club Deportivo Mallorca,MLL,929793,16736266,18
spn,2022,CA Osasuna,OSA,808069,15353310,19
spn,2022,Rayo Vallecano,RAY,498732,9475908,19
spn,2022,Real Madrid CF,RMA,12181020,255801420,21
spn,2022,Real Sociedad de Fútbol,RSO,1725228,36229791,21
spn,2022,Sevilla FC,SEV,3955949,94942787,24
spn,2022,Valencia CF,VAL,2069942,49678602,24
spn,2022,Villarreal CF,VIL,4004626,72083261,18
spn,2022,Real Valladolid Club de Fútbol,VLL,778944,17915703,23
mls,2023,Toronto FC,TOR,1189560,22601641,19
mls,2023,Chicago Fire,CHI,1126370,13516444,12
mls,2023,Columbus Crew,CLB,997470,9974700,10
mls,2023,DC United,DC,976172,7809375,8
mls,2023,Los Angeles FC,LAFC,820853,9029380,11
mls,2023,New England Revolution,NE,751810,13532583,18
mls,2023,Austin FC,ATX,667761,10016413,15
mls,2023,Houston Dynamo,HOU,639823,7677872,12
mls,2023,Seattle Sounders FC,SEA,603357,13273860,22
mls,2023,Atlanta United FC,ATL,571689,8575334,15
mls,2023,FC Cincinnati,CIN,538641,9695542,18
mls,2023,New York City FC,NYC,535237,8028548,15
mls,2023,Orlando City SC,ORL,521042,8336679,16
mls,2023,St. Louis City SC,STL,507441,6089290,12
mls,2023,Vancouver Whitecaps FC,VAN,485065,8246109,17
mls,2023,FC Dallas,DAL,480693,7691087,16
mls,2023,Nashville SC MLS,NSH,472427,8976115,19
mls,2023,Sporting Kansas City,SKC,450445,8558458,19
mls,2023,Philadelphia Union,PHI,417360,7512483,18
mls,2023,Real Salt Lake,RSL,415468,8724832,21
mls,2023,Colorado Rapids,COL,405445,6081679,15
mls,2023,LA Galaxy,LA,393806,6694708,17
mls,2023,Charlotte FC,CLT,384654,6154462,16
mls,2023,Club Internacional de Fútbol Miami,MIA,377955,4157500,11
mls,2023,Montreal Impact,MTL,369080,7012520,19
mls,2023,San Jose Earthquakes,SJ,347912,6262413,18
mls,2023,Portland Timbers,POR,310692,5903150,19
mls,2023,Minnesota United FC,MIN,286462,5442773,19
mls,2023,New York Red Bulls,NY,239439,4549340,19
