League,Year,Path
mls,2023,https://www.spotrac.com/mls/cap/
mls,2022,https://www.spotrac.com/mls/cap/2022/
mls,2021,https://www.spotrac.com/mls/cap/2021/
mls,2020,https://www.spotrac.com/mls/cap/2020/
mls,2019,https://www.spotrac.com/mls/cap/2019/
mls,2018,https://www.spotrac.com/mls/cap/2018/
nba,2023,https://www.spotrac.com/nba/cap/
nba,2022,https://www.spotrac.com/nba/cap/2022/
nba,2021,https://www.spotrac.com/nba/cap/2021/
nba,2020,https://www.spotrac.com/nba/cap/2020/
nfl,2022,https://www.spotrac.com/nfl/cap/2022
nfl,2021,https://www.spotrac.com/nfl/cap/2021
nfl,2020,https://www.spotrac.com/nfl/cap/2020
mlb,2022,https://www.spotrac.com/mlb/payroll/2022/positional/
mlb,2021,https://www.spotrac.com/mlb/payroll/2021/positional/
mlb,2020,https://www.spotrac.com/mlb/payroll/2020/positional/
epl,2022,https://www.spotrac.com/epl/payroll/2022/
epl,2021,https://www.spotrac.com/epl/payroll/2021/
epl,2020,https://www.spotrac.com/epl/payroll/2020/
epl,2019,https://www.spotrac.com/epl/payroll/2019/
epl,2018,https://www.spotrac.com/epl/payroll/2018/
epl,2017,https://www.spotrac.com/epl/payroll/2017/
epl,2016,https://www.spotrac.com/epl/payroll/2016/
epl,2015,https://www.spotrac.com/epl/payroll/2015/
epl,2014,https://www.spotrac.com/epl/payroll/2014/
nhl,2022,https://www.spotrac.com/nhl/cap/2022/
nhl,2021,https://www.spotrac.com/nhl/cap/2021/
nhl,2020,https://www.spotrac.com/nhl/cap/2020/
